JULDAY,TIME,D0cm,D2.5cm,D5cm,D10cm,D15cm,D20cm,D30cm,D50cm,D100cm,D200cm,Tair,Tair_mammals
15,0,1.382513762,1.591694236,1.786870599,2.135213614,2.429395914,2.673475981,3.029121876,3.404224396,4.990890503,15.49166775,-1.952667236,-0.526315689
15,60,1.239559889,1.444263816,1.637358189,1.988145709,2.291900635,2.551161051,2.949640989,3.426721573,5.061048508,15.49166775,-2.166595459,-0.710484147
15,120,1.116269112,1.316013694,1.506507397,1.856859684,2.166680336,2.43750453,2.872062683,3.441767216,5.131858826,15.49166775,-2.340606689,-0.863414288
15,180,0.748315573,1.417661905,1.345154762,1.752472043,2.061118841,2.340572119,2.802977324,3.449801207,5.197780132,15.49166775,-2.482177734,-1.102284312
15,240,0.997982383,1.069587588,1.319721818,1.651165843,1.967894316,2.253066063,2.73836875,3.45290947,5.26266098,15.49166775,-2.597381592,-1.062258482
15,300,0.750954092,1.127071857,1.204886198,1.571522832,1.88608551,2.176044703,2.679681301,3.452120066,5.324988365,15.49166775,-2.691070557,-1.222015023
15,360,0.694797039,1.053318024,1.135532856,1.497054219,1.811861873,2.105186939,2.624181271,3.448250771,5.387572765,15.49166775,-2.767333984,-1.290336967
15,420,0.861683011,0.8691746,1.127135992,1.436145186,1.75077498,2.04485631,2.575367928,3.442365646,5.446217537,15.49166775,-2.829345703,-1.254788756
15,480,1.432174563,0.987186134,1.311820745,1.46526134,1.729798913,2.002038479,2.531523466,3.434887171,5.504386425,15.49166775,-2.195709229,-0.646805167
15,540,2.152605534,1.942248821,1.8201226,1.764828324,1.862653732,2.041600704,2.50751853,3.427016735,5.5620327,15.49166775,0.538970947,1.228476167
15,600,3.309951067,3.130744696,2.695506096,2.355710983,2.217584133,2.233420849,2.537971973,3.422582388,5.61793232,15.49166775,4.359527588,3.91067028
15,660,4.56056118,4.130506039,3.696833849,3.101211071,2.74562788,2.579936028,2.651894808,3.428139687,5.672267437,15.49166775,8.21862793,6.652925014
15,720,5.516883373,4.98132658,4.519606113,3.80087328,3.311703682,3.010198355,2.850037575,3.450949907,5.72533083,15.49166775,11.05825806,8.682488441
15,780,6.295816422,5.75530386,5.271038532,4.470401764,3.877743244,3.467924118,3.107582092,3.495815516,5.777542591,15.49166775,12.1000061,9.611558914
15,840,6.946275711,5.885826111,5.82241106,4.995072365,4.387172222,3.91836524,3.401062489,3.564380169,5.8293643,15.49166775,11.05825806,9.295715332
15,900,6.322105408,6.083581924,5.820350647,5.26038599,4.734471321,4.288317204,3.698822498,3.655375957,5.881234646,15.49166775,8.218597412,7.405878067
15,960,5.487120152,5.500940323,5.446788311,5.190974712,4.8533535,4.511571407,3.959655285,3.763920784,5.933516979,15.49166775,4.359527588,4.842635155
15,1020,4.001111031,5.021216393,4.681891918,4.833596706,4.723755836,4.548281193,4.144411564,3.881725788,5.986436367,15.49166775,1.763580322,2.722014427
15,1080,3.765416861,3.982861757,4.155114651,4.371527672,4.449606895,4.431139469,4.232268333,3.998577356,6.04005909,15.49166775,0.856811523,2.102415085
15,1140,3.303622961,3.525050402,3.714022636,3.997131348,4.169188976,4.253198147,4.237301826,4.10544157,6.094274044,15.49166775,0.119110107,1.482562184
15,1200,3.376340628,2.854813814,3.460268497,3.686814785,3.921325684,4.070587635,4.192591667,4.197175503,6.14881897,15.49166775,-0.481048584,1.1701231
15,1260,2.675110817,2.897930145,3.099551439,3.440129757,3.703088999,3.898299217,4.123551369,4.272364616,6.203373909,15.49166775,-0.969329834,0.590336323
15,1320,2.441914558,2.663960934,2.868108511,3.223186731,3.511297464,3.739507914,4.04460144,4.331714153,6.257616997,15.49166775,-1.366577148,0.262928367
15,1380,2.402427673,2.343124151,2.702108145,3.032340288,3.341589689,3.594568491,3.963222504,4.376866341,6.311265945,15.49166775,-1.689758301,0.060734488
46,0,5.213302135,5.431483746,5.632124424,5.980697155,6.261089325,6.47827816,6.745223045,6.852411747,7.848182201,15.49166775,0.644775391,2.598589897
46,60,4.583605289,5.582525253,5.348206043,5.796453476,6.0807724,6.317979336,6.640142918,6.877286434,7.90450573,15.49166775,0.452453613,2.218405962
46,120,4.875622272,5.081303596,5.274855137,5.624598026,5.923836708,6.174315929,6.540663719,6.890655518,7.959515572,15.49166775,0.299285889,2.254645824
46,180,4.746368408,4.946187496,5.135678291,5.482662201,5.785929203,6.04645586,6.447752953,6.894697189,8.013049126,15.49166775,0.177307129,2.128665209
46,240,4.858988285,4.659862995,5.061145306,5.355879307,5.665221214,5.932699203,6.361724377,6.891338825,8.064985275,15.49166775,0.08013916,2.120161057
46,300,4.542973518,4.731818676,4.913346767,5.252459049,5.558492661,5.831456661,6.282446384,6.882236004,8.115244865,15.49166775,0.0027771,1.939692736
46,360,4.47289896,4.646821022,4.827764988,5.15993166,5.46508503,5.741334438,6.20959425,6.868785858,8.163777351,15.49166775,-0.058868408,1.873890638
46,420,4.569314003,4.695373535,4.826156616,5.110892773,5.394979954,5.66502142,6.143201351,6.852161407,8.210566521,15.49166775,0.016845703,1.95987761
46,480,5.45326376,5.113610744,5.201662064,5.244253159,5.420283318,5.635571003,6.089324951,6.833581924,8.255637169,15.49166775,1.817810059,3.370609283
46,540,6.577676773,6.267200947,5.984769821,5.725302219,5.670700073,5.740912437,6.07451582,6.815633774,8.299057007,15.49166775,4.83416748,5.579423428
46,600,8.114033699,7.547268867,7.094537735,6.484807491,6.159472942,6.028460979,6.13829422,6.804159641,8.340957642,15.49166775,8.397216797,8.276080132
46,660,9.423574448,8.790225029,8.237865448,7.382009506,6.815756798,6.477718353,6.303201675,6.807492733,8.381592751,15.49166775,11.71697998,10.73520184
46,720,10.81449032,9.536931038,9.254677773,8.20352459,7.497448921,7.007051468,6.56170702,6.833633423,8.421349525,15.49166775,14.05755615,12.66714764
46,780,11.36115074,10.67171097,10.04622173,8.985931396,8.164798737,7.556595802,6.882732868,6.887263298,8.460759163,15.49166775,14.89996338,13.38275909
46,840,11.73526859,11.16358471,10.61430645,9.607845306,8.762888908,8.090270042,7.239033222,6.969401836,8.500380516,15.49166775,14.05755615,13.06214046
